I,R1,Y1,R2,Y2,R3,Y3,R4,Y4,R5,Y5,R6,Y6,N
Egg,Boiled eggs,https://www.simplyrecipes.com/recipes/how_to_make_perfect_hard_boiled_eggs/ https://www.youtube.com/watch?v=3CnAQzEiuvQ,Scrambled eggs,https://www.loveandlemons.com/scrambled-eggs-recipe/ https://www.youtube.com/watch?v=yyi55ZrpJ0E,Sunny side up,https://www.cookinglight.com/recipes/pristine-sunny-side-up-eggs https://www.youtube.com/watch?v=hS0AEh8fxiM,Poached eggs,https://downshiftology.com/recipes/poached-eggs/ https://www.youtube.com/watch?v=yifZtA3uF-E,Devils eggs,https://www.foodnetwork.com/recipes/classic-deviled-eggs-recipe-1911032 https://www.youtube.com/watch?v=KmzbiuW4r1I,Egg Biryani,https://www.indianhealthyrecipes.com/egg-biryani-recipe-how-to-make-easy-egg-biryani/ https://www.youtube.com/watch?v=5VapbxkA_UA,155
Bread,Butter toast,https://jerryjamesstone.com/recipe/best-toast-with-butter/ https://www.youtube.com/watch?v=rG8JHT1Tjos,French toast,https://www.foodnetwork.com/recipes/robert-irvine/french-toast-recipe-1951408 https://www.youtube.com/watch?v=EARnchvnbVI,Sandwich,https://www.bbcgoodfood.com/recipes/collection/sandwich-recipes https://www.youtube.com/watch?v=955NtIiK0rI,Garlic bread,https://www.simplyrecipes.com/recipes/garlic_bread/ https://www.youtube.com/watch?v=FkV_fU5GoXM,Bread pakoda,https://www.indianhealthyrecipes.com/bread-pakora-recipe/ https://www.youtube.com/watch?v=jINY0TP29iA,Bread Upma,https://www.indianhealthyrecipes.com/bread-upma-recipe/ https://www.youtube.com/watch?v=h8CWDeRInoM,265
Milk,Coffee,https://www.bbcgoodfood.com/recipes/cappuccino https://www.youtube.com/watch?v=qfk8lOzwo2Q,Tea,https://foodviva.com/tea-recipes/milk-tea-recipe/ https://www.youtube.com/watch?v=JuK-RtjLOfc,Hot chocolate,https://celebratingsweets.com/homemade-hot-chocolate/ https://www.youtube.com/watch?v=RcywJvBZsY8,Milk Shake,https://www.delish.com/cooking/recipe-ideas/a20760804/easy-milkshake-recipe/ https://www.youtube.com/watch?v=DWG--xG0i-A,Rabdi,https://www.vegrecipesofindia.com/rabri-recipe-rabdi-recipe/ https://www.youtube.com/watch?v=poDHwIVUSVg,Kulfi,https://www.kitchenathoskins.com/2017/07/20/easiest-creamiest-kulfi/ https://www.youtube.com/watch?v=f6D7A6-QNl8,42
Flour,Roti,https://www.cookwithmanali.com/roti-recipe/ https://www.youtube.com/watch?v=jnQgkwVsMgc,Pancakes,https://www.allrecipes.com/recipe/21014/good-old-fashioned-pancakes/ https://www.youtube.com/watch?v=9zCVCL4V8JQ,Bread,https://butterwithasideofbread.com/homemade-bread/ https://www.youtube.com/watch?v=BsgUcpTLQww,Crepes,https://www.allrecipes.com/recipe/16383/basic-crepes/ https://www.youtube.com/watch?v=bX6ghyT6Ig0,Tacos,https://www.thewholesomedish.com/the-best-homemade-tacos/ https://www.youtube.com/watch?v=9xdAyhtP8vs,Muffins,https://www.allrecipes.com/recipe/6874/best-ever-muffins/ https://www.youtube.com/watch?v=SZNLVpAC0NU,364
Rice,Flavoured rice,https://www.recipetineats.com/buttery-seasoned-rice/ https://www.youtube.com/watch?v=OgS8gvifnRw,Porridge,https://www.allrecipes.com/recipe/73155/porridge/ https://www.youtube.com/watch?v=ywkEGKXk2cQ,Sushi,https://www.allrecipes.com/recipe/99211/perfect-sushi-rice/ https://www.youtube.com/watch?v=joweUxpHaqc,Fried rice,https://www.gimmesomeoven.com/fried-rice-recipe/ https://www.youtube.com/watch?v=OM1ZfRKdoFs,Biryani,https://www.indianhealthyrecipes.com/veg-biryani/ https://www.youtube.com/watch?v=m-hO_lpj0h0,Dosa,https://www.indianhealthyrecipes.com/dosa-recipe-dosa-batter/ https://www.youtube.com/watch?v=CCab5oh0ZOc&t=432s,130
Chicken,Pan tossed chicken,https://cravingtasty.com/10-minute-pan-fried-chicken-breast/ https://www.youtube.com/watch?v=aBFg7s6Oe4U,Chicken shawarma,https://www.recipetineats.com/chicken-sharwama-middle-eastern/ https://www.youtube.com/watch?v=lx-ZAmC3j4M,Barbeque chicken,https://www.foodiecrush.com/best-bbq-chicken/#:~:text=Place%20the%20chicken%20breasts%20on 2%20minutes%20on%20each%20side. https://www.youtube.com/watch?v=k6GDALpfH7g,Chicken gravy,https://foodiesterminal.com/boneless-chicken-gravy-recipe/ https://www.youtube.com/watch?v=jwyge5daKUQ,Chicken Biryani,https://www.foodnetwork.com/recipes/food-network-kitchen/the-best-chicken-biryani-7449133 https://www.youtube.com/watch?v=PmqdA05OXuI,Chicken lollipop,https://www.indianhealthyrecipes.com/chicken-lollipop-recipe/ https://www.youtube.com/watch?v=3HLBaD0Ab3s,239
Fish,Pan fried fish,https://www.recipetineats.com/crispy-pan-fried-fish/ https://www.youtube.com/watch?v=gluRaUv88sk,Oven roasted fish,https://www.tasteofhome.com/recipes/fast-baked-fish/ https://www.youtube.com/watch?v=tvnmY4ijcyI,Fish fingers,https://www.recipetineats.com/fish-fingers-recipe/ https://www.youtube.com/watch?v=SQSXrvxJifQ,Fish gravy,https://www.indianhealthyrecipes.com/fish-curry-recipe/ https://www.youtube.com/watch?v=qfgL2hU6_3E,Sushi,https://www.fifteenspatulas.com/homemade-sushi/ https://www.youtube.com/watch?v=EGeNKGosXA8,Lebanese fish,https://food52.com/recipes/62885-lebanese-fish-with-herby-tahini-sauce-over-rice https://www.youtube.com/watch?v=tKKqpioIyag,206
Carrot,Salad,https://cookieandkate.com/french-carrot-salad-recipe/ https://www.youtube.com/watch?v=hfzPELN4zpE,Stir fried carrot,https://cooking.nytimes.com/recipes/1015458-stir-fried-balsamic-ginger-carrots https://www.youtube.com/watch?v=Mjd4HWv2xCU,Carrot paratha,https://www.vegrecipesofindia.com/carrot-paratha-recipe-gajar-paratha/#:~:text=Carrot%20paratha%20is%20a%20healthy brunch%20in%20this%20cold%20weather. https://www.youtube.com/watch?v=BBBRzHYOAGc,Carrot soup,https://cookieandkate.com/roasted-carrot-soup-recipe/ https://www.youtube.com/watch?v=TzVArIFQB64,Carrot Cake,https://www.inspiredtaste.net/25753/carrot-cake-recipe/ https://www.youtube.com/watch?v=zoyhs-EiJxE,Carrot halwa,https://www.indianhealthyrecipes.com/carrot-halwa-recipe-gajar-ka-halwa-recipe/ https://www.youtube.com/watch?v=CNJBC-TJJTA,41
Potato,Mashed potato,https://www.gimmesomeoven.com/best-mashed-potatoes-recipe/ https://www.youtube.com/watch?v=HfdFlenF6XI,Potato wedges,https://cafedelites.com/crispy-garlic-baked-potato-wedges-recipe/ https://www.allrecipes.com/recipe/199575/oven-fresh-seasoned-potato-wedges/,French fries,https://thecozycook.com/homemade-french-fries/ https://www.youtube.com/watch?v=hrozhYx_mQE,Twisted potato,https://tasty.co/recipe/tornado-potato https://www.youtube.com/watch?v=vqZy69wj3Gc,Aloo paratha,https://www.vegrecipesofindia.com/aloo-paratha-indian-bread-stuffed-with-potato-filling/ https://www.youtube.com/watch?v=r2N8ObqAgy0,Cajun spiced potato,https://www.tasteofhome.com/recipes/roasted-cajun-potatoes/ https://www.youtube.com/watch?v=iWNzY1LGrqY,77
Brocolli,Salad,https://sugarspunrun.com/broccoli-salad/ https://www.youtube.com/watch?v=AnE9qJXXreY,Stir fried brocolli,https://www.simplyrecipes.com/recipes/broccoli_stir_fry_with_ginger_and_sesame/ https://www.wholesomeyum.com/sauteed-broccoli-recipe/,Pasta,https://www.skinnytaste.com/easiest-pasta-and-broccoli-recipe/ https://www.youtube.com/watch?v=2KA8BOFXcUQ,Brocolli paratha,https://www.vegrecipesofindia.com/broccoli-paratha-recipe/ https://www.youtube.com/watch?v=rnOJ9ew16sk,Brocolli manchurian,https://simpleindianrecipes.com/broccolimanchurian.aspx https://www.youtube.com/watch?v=Ts-WKAaq7bQ&t=10s,Brocolli base pizza,https://www.wellplated.com/broccoli-pizza-crust/ https://www.youtube.com/watch?v=dqR6HhYrGnM,31
